GROUP,density,NPP,ID,sampleID
TUAREG-AHAGGAR,0.032,45.46792322,PS,1
TEDA,0.0889,55.2607047,PS,1
AL-MURRAH,0.023,140.049581,PS,1
Cocopa,0.48828125,151.4209566,AG,1
CHUKCHI,0.013,156.8021324,PS,1
Yakut,0.0645,175.4582988,AG,1
Rwala,0.72,179.65198,AG,1
MUTAIR,0.7785,222.3971025,PS,1
Hunzakut,4.088607595,249.9247122,AG,1
Koryak,0.0063,300.438921,AG,1
Nurzay,0.1433,313.0995272,AG,1
TURKANA,2.4627,329.1085618,PS,1
Kazakh,1.457,350.3056634,AG,1
KABABISH,1.0856,352.0644764,PS,1
CYRENAICA,1,431.7203223,PS,1
Khalkas,0.3618,453.7943041,PS,1
Basseri,0.9469,453.7943041,PS,1
Saami,0.1649,465.0438169,PS,1
TUAREG-AYR,0.1107,477.3541564,PS,1
Charwa,3.6364,477.3541564,PS,1
Northern Somali,6.6324,510.6334297,PS,1
Sherpa,2.4636,560.9646503,PS,1
Mohave,0.714285714,567.8192359,AG,1
Havasupai,0.032299742,633.139748,AG,1
Goajiro,6.6875,675.1947115,AG,1
Hidatsa,0.094117647,742.1336178,AG,1
Pedi,32.30223069,757.0761864,AG,1
MAASAI,0.025,802.7726091,PS,1
Tswana (Tolkwa),41.66666667,843.2460538,AG,1
Tigrinya (Mai Weini),61.17647059,847.5380314,AG,1
Sonjo,2.5,851.821468,AG,1
Dogon,6.792811321,873.1111276,AG,1
HUMR,0.9167,934.3513596,PS,1
Ayacucho Quechuan,9.3575,950.9955089,AG,1
Bakkarwal,3.4134,1120.170623,PS,1
Toda,0.5683,1127.691262,AG,1
Goba,5.56467147,1133.89702,AG,1
Swazi,20.99483204,1137.610597,AG,1
JIE,5.404,1145.015596,PS,1
Paratia,6.1414,1145.339897,AG,1
Huron,9.933774834,1187.756031,AG,1
Nuer,2.573340196,1249.137911,PS,1
Valley Gwembe Tonga (middle river),2.214497232,1251.461513,AG,1
Mapuche,28.37967402,1256.693158,AG,1
Bhaca,30.69059417,1288.222527,AG,1
Xhosa Shixini,95.86,1335.301063,AG,1
Uchucmarca,10.84761905,1370.870413,AG,1
Sandawe,15.92356688,1380.009494,AG,1
Lozi,7.003676471,1428.742446,AG,1
Tarahumara gentiles,3.55,1464.837423,AG,1
Lugbara,58.00316957,1551.969599,AG,1
Delaware,0.255813954,1575.760481,AG,1
Creek,0.329989404,1618.651372,AG,1
Powhatan,0.447437102,1643.195519,AG,1
Bemba,2.180801527,1686.630085,AG,1
Hasinai,0.277777778,1688.373082,AG,1
Kofyar (Bong),148.3279462,1758.703636,AG,1
Betsileo  (subprefecture),25.63015325,1763.639122,AG,1
Yukpa,2.715,1846.136025,AG,1
Cayua,0.875,1853.772301,AG,1
Azande,10.67068833,1853.772301,AG,1
Lamet,2.8975,1861.358041,AG,1
Siriono,0.579374276,1878.615269,AG,1
Tiv,95.18828452,2029.736613,AG,1
Ifugao (subarea),100,2069.487446,AG,1
Matsigenka,0.299981735,2085.413942,AG,1
Boyela (4 subtribes),2.2,2152.089093,AG,1
Ka'apor,0.098020735,2184.123033,AG,1
Wonie,0.325,2207.088537,AG,1
NE Igbo,160.6870229,2241.590431,AG,1
Yanoama,0.19379845,2334.581898,AG,1
Khasi,20.20430837,2394.270329,AG,1
Tana Toraja,98.9314034,2411.345147,AG,1
Semai,5.810391978,2428.066019,AG,1
Guahibo,0.34,2438.228284,AG,1
Garo,16.94426336,2465.623786,AG,1
Nukak,0.04,2466.228648,AG,1
Nuaulu,2.317757009,2483.315949,AG,1
Kekchi_Maya,2.947440157,2520.714009,AG,1
Panare,0.0854,2525.486928,AG,1
Miskito,0.963883293,2548.774224,AG,1
Hanunoo,22.74193548,2570.691589,AG,1
Maring (Bomagai-Angoiang),2.153846154,2584.068575,AG,1
Tsembaga,26.35658915,2584.068575,AG,1
Tikopia,164.2307692,2584.068575,AG,1
Iban,3.383422779,2592.522182,AG,1
ABAU(GREEN R.),2.2,2571.26133206856,SG,0
ABAU(IDAM),4.8,2601.51632071926,SG,0
YEI,0.6,2199.68326533016,SG,0
BIAN,0.7,2401.65017912758,SG,0
MALINGUAT(GAIKAROBI),5.6,2353.7415070381,SG,0
SUKI,1.7,2259.99601771478,SG,0
BIWAT,14.2,2463.74190395383,SG,0
IATMUL(NYAUR,6.7,2431.47370373153,SG,0
IATMUL(PALIM,4.6,2412.28180803405,SG,0
KOPAR,0.8,2363.11343190553,SG,0
TUMLEO,15.5,2430.71819926615,SG,0
IWAM (MAY),2,2606.28935876607,SG,0
KARAWARI,1.2,2533.53846256954,SG,0
JAQAI,4.3,2608.32008919065,SG,0
FOI(MUBU),10,2389.70329014297,SG,0
NGALA,1.5,2566.68213081428,SG,0
WATAM,2.7,2378.56981743944,SG,0
YIMAS,1.9,2582.64542413845,SG,0
KANINGARA,2.3,2555.31437685919,SG,0
MONGOL,2.9,2377.74400994218,SG,0
SAWI,2.4,2606.96731181825,SG,0
WOGAMUSIN,1.2,2560.01370986171,SG,0
KAPRIMAN,2.3,2565.81810133121,SG,0
KEREWO,5.8,2546.87015945821,SG,0
LANGAM,5.1,2402.84090561344,SG,0
CHAMBRI,3.7,2448.5762512086,SG,0
MURIK,3.5,2247.10967410492,SG,0
KWOMA(HILL),6.3,2482.28568863676,SG,0
WABUDA,3.4,2514.25705333379,SG,0
KAMBOT,4.6,2423.87331966586,SG,0
IWAM (SEPIK),1.4,2608.65766467898,SG,0
MARIND-ANIM,2.1,1863.62395770703,SG,0
KAMORO,2.1,2567.63827883082,SG,0
ASMAT (KAWENA,3,2553.56248035003,SG,0
WAROPEN,25.8,2602.3722530513,SG,0
ASMAT (KEENOK),2.9,2604.07944500004,SG,0
KORIKI/PURARI,4.7,2567.45472436403,SG,0
IATMUL(EAST),3.3,2390.4216018431,SG,0
KIWAI ISLAND,3.5,2446.00726793208,SG,0
ALI (ISLAND),13.8,2349.74390375533,SG,0
GOGODALA (W),3.9,2446.74248199008,AG,0
MANAMBU,3.7,2486.39444524498,AG,0
BUN,1,2529.49453811032,AG,0
BOAZI,0.2,2488.43657914329,AG,0
NDOM,0.3,2231.45157938453,AG,0
KIMAAMA,0.5,2198.08744548582,AG,0
RIANTANA,0.6,2335.02358913034,AG,0
BIMIN-KUSKUS,4,2161.22981220444,AG,0
KEWA(WEST),17.9,2130.33151681448,AG,0
GIMI,18.3,1974.03761327565,AG,0
IMBONGGU,23,1892.95281876295,AG,0
MELPA (NORTH,55.9,2010.86377866042,AG,0
WAHGI (NORTH,29.6,2035.68575722183,AG,0
KEWA(EAST),30.8,2033.0883844245,AG,0
BENA BENA,18.9,2173.45854810195,AG,0
KAPAUKU,41,2174.6457922816,AG,0
