SOCIETY,LAT,LONG,SUB,DENSITY,PLTYSIZE,AREA
BOAZI,-7.239,141.085,SH-FH,0.2,154.3,771.5
MAKLEW,-7.725,139.259,S-FH,0.2,38,190
KAMULA,-7.287,142.64,SH-FH,0.2,43,215
BAHINEMO,-4.501,142.835,SH,0.2,40,200
MANDER,-2.254,138.89,SH,0.3,90,300
BITARA,-4.441,142.461,SH,0.3,53,176.666666666667
GUNTAI,-8.806,141.248,HH,0.3,58,193.333333333333
NDOM,-7.933,138.023,AF,0.3,96.3,321
ASABANO,-4.955,141.979,HH,0.4,48,120
GADIO,-4.919,143.222,HH,0.4,14,35
BONERIF,-2.299,138.914,SH,0.4,45,112.5
KASUA,-6.685,142.999,SH-FH,0.4,45,112.5
SUMARIUP,-4.733,143.24,SH,0.4,50,125
WATAKATAUWI,-4.587,143.004,SH,0.4,,
KAUWERA,-2.241,138.156,SH,0.5,40,80
KWERBA,-2.558,138.44,SH,0.5,55,110
OWINIGA,-4.45,141.697,SH-FH,0.5,10,20
KAUNGA,-4.106,142.819,SF,0.5,64.5,129
AK,-3.571,141.787,SH,0.5,87,174
KIMAAMA,-7.971,138.352,AF,0.5,197.2,394.4
MEAKAMBUT,-4.845,143.594,SH,0.5,,
YEI,-7.878,140.858,S-FH,0.6,265,441.666666666667
BERIK,-2.268,138.951,SH,0.6,90,150
RIANTANA,-7.539,138.475,AF,0.6,206.3,343.833333333333
BIAN,-7.36,140.565,S-FH,0.7,280,400
EDOPI,-3.129,137.396,SH,0.7,30,42.8571428571429
KOPAR,-3.921,144.471,SF,0.8,56,70
SAMAROKENA,-1.85,138.344,SH,0.8,62.5,78.125
YABIO,-4.611,142.171,SH,0.8,20,25
SENGGI,-3.424,140.776,SH,0.8,44.3,55.375
SIKARITAI,-2.825,138.294,S-FH,0.8,46,57.5
BINE,-9.07,142.873,SH,0.8,93.2,116.5
IAU,-3.183,137.681,S-FH,0.8,,
BUN,-4.529,143.896,SH-FH,1,142,142
ETORO,-6.103,142.652,SH-H,1,36,36
MARI,-4.475,142.963,SH,1,27,27
NIMO/ITERI,-4.339,141.572,SH-H,1,32,32
ANKAVE,-7.199,145.769,HH,1.1,29.3,26.6363636363636
NAGATMAN/JADE,-3.805,141.571,SH,1.1,74.8,68
KIRIKIRI,-3.033,137.466,S-FH,1.1,,
YONGGOM,-6.404,141.217,SHFH,1.1,30,27.2727272727273
FASU (VALLEY),-6.538,143.194,SH,1.1,37,33.6363636363636
MINAMIN(WEST),-4.765,141.395,HH,1.1,44,40
YADE,-3.8,141.568,SH,1.1,71.9,65.3636363636364
KALOU,-3.941,142.219,SH,1.1,391,355.454545454545
KARAWARI,-4.492,143.595,SF,1.2,80,66.6666666666667
WOGAMUSIN,-4.231,142.402,SF,1.2,174,145
AWUN,-3.802,142.001,SH,1.2,187,155.833333333333
YEREKAI,-4.294,142.949,SH,1.3,97,74.6153846153846
BISIS,-4.472,143.062,S-FH,1.3,110,84.6153846153846
IWAM (SEPIK),-4.306,142.117,SF,1.4,328,234.285714285714
MIANMIN(EAST,-4.858,141.568,HH,1.4,53,37.8571428571429
BOUYE,-3.678,141.925,S-HF,1.4,85.4,61
NGALA,-4.267,142.503,SF,1.5,136,90.6666666666667
PARE,-6.775,141.736,SH,1.5,44,29.3333333333333
ODOODEE,-6.59,142.482,SH,1.5,54,36
PASI,-3.955,142.308,SH,1.5,60,40
SANIO-HIOWE,-4.458,142.373,SH,1.6,25,15.625
AEKYOM,-5.76,141.53,SH-H,1.6,28.5,17.8125
ALAMBLAK,-4.669,143.316,SH,1.6,17,10.625
YAFI,-3.497,140.87,SH,1.6,34.3,21.4375
AUWYU(SOUTH),-7.148,139.543,SH-H,1.6,,
KWOMA(NUKUMA),-4.06,142.66,SH,1.6,142,88.75
SUKI,-8.048,141.84,S-FH,1.7,,
ONABASULU,-6.292,142.769,SH-HL,1.7,49,28.8235294117647
DUVLI,-3.202,137.972,S-FH,1.8,,
GEBUSI,-6.316,142.232,HH,1.8,42,23.3333333333333
PAHI,-3.799,142.303,SH,1.8,88,48.8888888888889
YIMAS,-4.727,143.573,SF,1.9,150,78.9473684210526
HEWA,-5.221,142.436,HH,1.9,18,9.47368421052632
HAMTAI,-7.265,146.461,HH,1.9,86.3,45.421052631579
