pbar,Polity_habitat_j,SUB2_Aj,A_j,Cj,LAT,LONG,LAT,LONG,SUB,PROTEIN,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
0.2,BAHINEMO,SAGO,1,2591.64838975249,-4.501,142.835,-4.501,142.835,SH,HUNTING,40,200,21.1000003814697,3025,26.5791664123535,70
0.2,BOAZI,HORT,2,2488.43657914329,-7.239,141.085,-7.239,141.085,SH-FH,FISHING,154.3,771.5,22.1000003814697,2664,27.0125007629395,9
0.2,KAMULA,HORT,2,2569.65268665496,-7.287,142.64,-7.287,142.64,SH-FH,HUNTING,43,215,20.7999992370605,3599,26.0666675567627,106
0.2,MAKLEW,SAGO-FISH,1.5,2190.06048855448,-7.725,139.259,-7.725,139.259,S-FH,FISHING,38,190,22.1000003814697,1972,27.1375007629395,6
0.3,BITARA,SAGO,1,2600.31548907841,-4.441,142.461,-4.441,142.461,SH,HUNTING,53,176.666666666667,21.7999992370605,3097,26.7875003814697,46
0.3,GUNTAI,HORT,2,1947.16735524092,-8.806,141.248,-8.806,141.248,HH,HUNTING,58,193.333333333333,21.7999992370605,1577,26.9249992370605,10
0.3,MANDER,SAGO,1,2499.52403899075,-2.254,138.89,-2.254,138.89,SH,HUNTING,90,300,22.3999996185303,2697,26.9333324432373,65
0.3,NDOM,AGG,3,2231.45157938453,-7.933,138.023,-7.933,138.023,AF,FISHING,96.3,321,22.1000003814697,2051,27.1666660308838,5
0.4,ASABANO,HORT,2,2184.39903288507,-4.955,141.979,-4.955,141.979,HH,HUNTING,48,120,14.1999998092651,3646,19.3291664123535,1592
0.4,BONERIF,SAGO,1,2490.80880859142,-2.299,138.914,-2.299,138.914,SH,HUNTING,45,112.5,22.2000007629395,2671,26.7958335876465,75
0.4,GADIO,HORT,2,2306.8255261974,-4.919,143.222,-4.919,143.222,HH,HUNTING,14,35,15.6000003814697,3036,21.154167175293,952
0.4,KASUA,HORT,2,2406.16671035234,-6.685,142.999,-6.685,142.999,SH-FH,HUNTING,45,112.5,17.1000003814697,4150,22.8083324432373,767
0.4,SUMARIUP,SAGO,1,2583.89093052384,-4.733,143.24,-4.733,143.24,SH,HUNTING,50,125,20.7000007629395,3146,26.3958339691162,53
0.4,WATAKATAUWI,SAGO,1,2597.0404987739,-4.587,143.004,-4.587,143.004,SH,HUNTING,,,21.1000003814697,3055,26.7083339691162,34
0.5,AK,SAGO,1,2445.63929460437,-3.571,141.787,-3.571,141.787,SH,HUNTING,87,174,21.7000007629395,2543,25.9291667938232,187
0.5,KAUNGA,SAGO-FISH,1.5,2441.57542081182,-4.106,142.819,-4.106,142.819,SF,FISHING,64.5,129,21.7000007629395,2532,26.9874992370605,31
0.5,KAUWERA,SAGO,1,2553.24266715924,-2.241,138.156,-2.241,138.156,SH,HUNTING,40,80,22,2868,26.404167175293,187
0.5,KIMAAMA,AGG,3,2198.08744548582,-7.971,138.352,-7.971,138.352,AF,FISHING,197.2,394.4,22,1987,27.1166667938232,6
0.5,KWERBA,SAGO,1,2537.83216355212,-2.558,138.44,-2.558,138.44,SH,HUNTING,55,110,20.8999996185303,2892,25.3624992370605,378
0.5,MEAKAMBUT,SAGO,1,2488.31777633391,-4.845,143.594,-4.845,143.594,SH,HUNTING,,,18.6000003814697,3177,24.341667175293,490
0.5,OWINIGA,HORT,2,2600.65890721778,-4.45,141.697,-4.45,141.697,SH-FH,HUNTING,10,20,22.2000007629395,3392,26.7958335876465,48
0.6,BERIK,SAGO,1,2510.69619843975,-2.268,138.951,-2.268,138.951,SH,HUNTING,90,150,20.7999992370605,2731,25.375,378
0.6,RIANTANA,AGG,3,2335.02358913034,-7.539,138.475,-7.539,138.475,AF,FISHING,206.3,343.833333333333,22.2000007629395,2269,27.341667175293,5
0.6,YEI,SAGO-FISH,1.5,2199.68326533016,-7.878,140.858,-7.878,140.858,S-FH,FISHING,265,441.666666666667,21.7000007629395,1990,26.7000007629395,29
